0
요즘같은시대에 뭔놈의 서당이냐 ㅋㅋ 조선시대체험이 그렇게 하고싶어? 국민의 40%가 노비였던 그시절이 그렇게 그립나
LH 가 출범한 2009년부터 조사하시지요~!!
서당이라니 조선시대 형별을 적용해 국문을 통한 사형으로 엄벌해주심이 마땅하나이다.
도쿄박은 도쿄아파트 매매계약서를 공개하라~ 얼마나 쳐 벌었는지 궁금하다~ 도쿄까지 가서 부동산 투자라..........역시 토착왜구 도쿄박^^
"이런기사 나올때마다 외교부는 단호히 대응한다는데 ~
지금까지도 일본이 독도를 일본땅이라고 헛소리하는건 뭐냐?
어떻게 단호히 대응할것인지도 얘기해봐라."
강남세훈!! 훈이한테는 오직 강남만 있을뿐!! 비강남은 서울이 아닌거지!!
대깨 빼고 오세훈 찍어서 민주당을 압살하자. 부산도 마찬가지로 대깨들 박살내자
선거 다가오니까 역시 바로 빼드는 혐일카드. 근데 중요한건 친일파 후손은 더붉은공산당에 더 많잖아?????
이러니 오세훈지지하지 너를 후보낸 더듬어당이 이젠불쌍하기까지하네
도쿄아줌마 덕분이내요 !!
2억원 * 2억원 = 곰재인한테 압수받아야 할 나랏돈
백신으로 돌려막기하는 나라는 우리나라밖에 없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 국격 미친다
아니 토론을 본 사람이라면 오세훈이 압승이란걸 다 아실텐데 유독 뉴스기사만 보면 오세훈이 코너에 몰렸단 식의 기사만 뜨네
반일감정 쳐조장하더니 왠?  일본없이도 하면 된다며? 쯧쯧
문통님 하고 모더나 CEO 하고 전화해서 백신 확보했다고 쇼질 열심히 하더만 그 모더나 백신 다 어디로 가고 아직 하나도 안들어 왔냐?
턱들고 눈 내리깔고... 강남만 사람사는데냐? 서울을 강남 비강남으로 나누게?
"생각이없다, 손님이 줄었다하니 편해서 좋겠다던 정세균, 다리 잃는 장병에게 짜장면 먹고싶냐던 문재인. 다 공감능력 결여다"
아니 서당은 왜가는 거야 2021년에. 서당이 아직 남아있는 게 더 신기하네
김학의 성접대뇌물사건도 공수처에서 다시 재수사해야 한다. 검사들이 연루된 정황과 검사들의 직무유기 정황이 너무 많다.
당연히 철회가 됐어야지 이걸 발의한다는 발상자체가 한심스럽네
"실수는 할 수 있어..근데 월세 24만원이라고 이야기하고 바로 이상하다고 생각을 못했다는게 전혀 학습이 안되고 감이 없다는거지..월세 24만원이라고 말하는 순간 ""아~ 실수다""라고 생각해야 하는데..잘났다고 고개 뻣뻣히 들고 있다가 재질문하니까 그때서야 바꾼게 잘못인거야. 소상공인들 월세에는 전혀 관심이 없었다는 반증이기도 하고..관심은 내곡동처럼 재개발해서 기득권세력들 돈벌어야하니까"
우리서해 어장 싹쓸이하고 동북공정 역사왜곡하는 시진핑  이북 똥돼지 한테도함 그리해봄이 어떠한가
똥싸네 초반에 번역가들힘이 좀 필요하겠지. 그마저도 딥러닝되면 번역가가 필요하겠냐? 하나 완성되면 통번역가들은 다 쪽박차는거지 ㅋㅋㅋㅋ 어디서 약팔다 걸리니까 말도안되는 소리 짓거리네. 버거킹에서 주문 대신받는기계 있지? 그거랑 같은거야. 저거 몇번 번역해주고나면 사람 필요없어.
박영선 = 고민정 늙은 버전
집값이 얼만데 독립가능하냐?
"대한민국의 주적은 일본이다. .헌법과 국방백서에 반드시 명기해야,,,,,,,,"
지금도 지방에선 권력하고 유착히 심한데 자치경찰하면 잘~ 돌아가겠다 ㅉㅉ
또 일본에 지진 일어나겠네. 일본이 독도 얘기만 하면 큰 지진 일어난다. 지하에서 이사부 장군께서 가만두지 않거든...
윤미향과 일당들이나 형무소 보내라 그래야 너들 진정성을 조금이나마 믿것다
형들이 모르는게 있는데 일본은 뼛속까지 군국주의야. 맥아더가 강제로 민주화 시키지 않았으면 북한이나 다를게 없어. 민주화된지 70년밖에 안됐어
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ긴급 이래서 봤더니 일본 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래봤자 도쿄박은 안찍어^^
경찰수사가 잘못 된거아녀?
자식들이 엘시티 로열층 위아래층에 사는 시장님을 부산시민들은 엄청 우러러보게 되겠네요
"여당이  공영방송 동원하여 비방전에 혈안인 선거 처름봤다
남 비방하기 전에 잘못했다고 반성하는게 중요하지.뭐 때문에 이렇게 화났는지 모르나.내노남불이 유권자 마음 빼았아간 최고 이유다"
아니 경찰은 못믿어도 과학은 믿어야 될것아냐...DNA검사가 잘못 나올 확률은 백만분의 일이라한다...4번 재검해도 석씨가 친모로 나왔는데 4번이나 잘못나올 확률은 전~~~혀 없다는 뜻이 된다 ... 다른건 몰라도 석씨가 친모인건 확실한거지
귀족들만 신났군!
정치검새 정난치지 말고 제대로 해라. 이번에도 선택적으로 정의로웠다간 국민들 뒤집어진다.
이 사건은 거론할 필요가 없는 사건이다. 오세훈이 보상을 많이 받도록 압력을 행사했냐 아니냐가 중요한거지. 썬그라스에 흰상의를 입고 측량을 왔는지 안왔는지 말을 했다 바꿨다가 중요한 건 1도 아닌데 그 아까운 공중파에서 개소리나 씨부리고 있는 영선이 아줌마 진짜 최악이다. 말했듯이 오시장이 시장되기 전에 결판난 사항이라고 했는데도 그 얘기 말고는 할 수 있는 얘기가 없었던 모양이다. 딱하고 그 뻔뻔함에 다시 놀랐다.
흑인들 진짜 무서움....이태원만 가봐도 알껄....진짜 걔네들이 눈뒤집혀서 싸우는거 아무도 못말린다!! 그냥 인종이 다른게 아니라...사람이 아닌거 같아.....
진짜 중국때문에 이게 뭔 난리야
"편의점 알바들의 고충은 무인 편의점으로 달래주고 
예비 통역사들의 걱정은 AI 번역으로 덜어 주는군요 
신선하네요 ㅋㅋㅋㅋ"
미국 마저도 자국민들 백신 맞추려고 미국에서 생산하는 백신 수출 막아버리는데 우린 너무 정직해...그냥 우리도 이기적이지만 우리국민 부터 맞게 하면 좋겠다... 빨리 맞고 코로나 좀 벗어나자..
5.18가짜 유공자도 조사해서 구속하고 이미 돈 지불한것 전부 회수 하도록 검찰에서 조사바랍
"난 이 말이 더 무섭다. ""번역료도 여러 사람에게 기회가 골고루 돌아간다"" 번역료가 정해진 파이 안에서 나눠 먹으란 소리지. 정해진 파이를 여러 사람에게 보장한다는 소리는 절대 아니다. ""점주와 종업원의 규약을 통해 일자리 축소 없이 근로시간 단축에도 불구하고 동일 임금을 보장하는 형태"" 점주=가진 자. 자영업이 어려운 걸 모르는 소린가? 일은 적게 하지만 더 버는 가진 자가 아무 조건 없이 더 나눠 주란 소리다."
문재앙&amp;정세균은 세균을 백신 한방으로 정리하면 어떠하오실지?
"일본것들이 저럴수록 아주 마음편한 한가지....일본에서 아주 엄청난 큰 지진으로 일본놈들이 전부 죽어나가도 일본것들이 전부다 방사능에 걸려도 일본이 침몰해도 나의 마음속에 아주 0.1%도 불쌍함이 느껴지지않고 단 10원의 성금을할 생각도 없으니....아주 마음이 편합니다, 이세상에서 일본이란 인간들이 없어져도 전혀 마음 아픈게 없습니다,  아주 오래전부터 일본에서 수만명이 죽어나갈때도 불쌍함을 전혀 못느꼈습니다, 앞으로도 계속해라, 몇십년이나 지나면 일본은 언제가는 침몰하고 일본인들은 난민이 될겁니다, 세계속의 나라없는 거지들 일본"
일본 맥주 타령하는 정치인이 있으니... 일본넘들이 독도를 가지고 헛소리를 하는듯....
박영선의   실체를   알고   나면   쟤가   왜   저기까지  갈  수    있었는지   불가사의ㅋㅋ.......  참으로     신기방기    알수없는     세상ㅋㅋ......MBC부터     이상해ㅋㅋ.......   이제야    실체가   드러나고     실력이     뽀록나기    시작하나ㅋㅋ..........
공수처에 있는 인간들은 가만히 있어도 월급받네. 국민의 혈세를
조상은 고속도로반대 데모질 후손은 고속도로타고 전국으로 룰루랄라 데모질ㆍ자기네 ktx 없다고 데모질 만들어주니 타지역보다 싸게해달라고 데모질ㆍ광화문복원 극렬반대 데모질 완성되니 터 잡고데모질ㆍ타지역 사람들 근면.성실하게 일궈놓은 기업에 고향세탁후 기어들어와 365일 이간질.협잡질.데모질ㆍ이용객없어 담벼락에 고추말리는 공항을 세계적 허브로 만든다며 데모질ㆍ강남집값이 자기네들과 같아야한다며 배아파나뒹굴며 데모질ㆍ인공기 휘날리는 자유를 달라 악다구니 지르며 데모질ㆍ3월 민주당지지율92% 대한민국 어딘가에 있는 이들의 독립을 응원합니다~!
"사기꾼들이 이렇게 대접받는 시대는 없었을거 같아요!!  이철,, 제보자x,, 김봉현,,,   진짜 웃기는 법무부!!"
박근혜대통령 늪에 빠트리더니 다음 타잔 누구지
이해찬 조사하는거 보고 잘하는지 못하는지 판단하겠어요.
일회성으로 그치지 말고 삭제가 될때까지 대응하기 바란다
"자치경찰제....지방 소도시 무법천지 만드는 것 아닌지...신중하게 해야 한다....
[친인척 마을, 지역출신 학교, 끼리끼리 , 도와주면서 똘똘 뭉쳐서 자치경찰이 뭔 짓을 할 지 모른다.
[LH사태보다,, 버금갈 수 있다..].....
도대체 왜 지방자치경찰제를 하는지 이해가 안 간다.....[무식한 경찰들 믿어도 됩니까??]"
니들 무릎으로 목졸려도 이제 동정 안할란다.
더불어민주당 최문순 도지사
최소 50년 본다
저게 미국의 현실이라니 믿기지않는다 어떻게 말리는 사람이 없냐
호흡기 노폐물 검사 대한합기도협회 송다겸(인)
박영선  뻥쳤네~~
아이오닉이랑 코나 납품하는 협력업체들 환장하겠다. 하루만 멈춰도 최소 몇천일텐데.
치매걸린 볍시인이 대통령하니까 별 꼴을 다보는구나
중국놈들 때문에 아시아인 차별이 20년전으로 후퇴했다
현재 행해지는 중국의 동북공정이 더 심각한데 중국한텐 찍소리도 못하는 것들 ㅉㅉ
농업호소인 11년차로 불법 농지 투기하는 문재인을 1호로 구속하라!!!
성추행을 하고 가덕도 땅투기도 하고 쫏겨난 색이 정당이 다시 후보를 내고 온갖 네거티브로 상대후보 비방에 열을 올리고 있다. 한마디로 현 정권은 도덕성이라고는 털 끗 만큼도 없는 악마색이들이지...더부러투기 성범죄당 이 쓰레기들은 재활용도 안되는 것들이다.
"영춘아, 문재인한테 쌍욕 한번하고 그냥 사퇴해라."
재들은 놀아도 돈 줘요
"중국인과 한국인을 이제 구별할수없습니다...민주당이 주민번호법을뜯어고쳐..귀화중국인(조선족)이 한국인과 동일한 번호를 받게됬음..귀화중국인이 완벽한 한국인으로 살아가게하는 것..경찰,대기업연구원,공무원 뽑을때 집계약할때..중국인인지 알수없게됨..외국인유학생에게 3년만에 영주권주고 지방선거권주는나라는세계에없음●중국인 한국돈(은행70%대출)로 집주인 건물주 됐다..수억벌어/중국인유학생 8채 구입하기도/중국인8만원내고 온가족4억원어치 무료치료후 돌아가/중국의 한국지방정부화 정책..조선족 정착을 돕는것=민주당이 한국역사에 저지른 최악의만행"
"맨날 문재앙이 지지율이   46 % 라고   사기치던  그때  수법으로  400 명 노래를  부르냐,,,,,,???"
근데 맞벌이부부 여자 너무 힘들다 일도남편만큼 하고 돈도 그만큼 또는 그이상 버는데 집안일은 여자몫이야 ... 조금만 어지러워도 내탓이지.
좌파들이 불리해지기만 하면 그 때마다 독도 이야기 꺼내들어 반일감정 부추기는구먼. 토종일베 박영선은 아직 일본에 있는 아파트 처리도 안하고 버티고 있는데? 잔금은 언제 받을까? 아파트 매매계약서는 절대로 안보여주네.
중국이 한국 먹으려는것도 진짜 심각함
우리나라 교과서에도 대마도는 역사적으로 한국땅이고 일본이 불법점거하고 있다고 기재해라
이런게 문정권이다    앞에서는 다해줄듯 뒤에서는 찬물 한바가지
사퇴호소인이 되었네. ㅋ 제발 사퇴해주세요~
이딴곳을 왜 보내는지 ㅋㅋ 참 한심하다..
애당초 치안감일때 문제가 너무 커서 국가직으로 돌린게 현재 경찰청이고 소방도 같은논리로 지방직에서 국가직으로 돌렸는데 이제 와서 치안감 다시 만들자는건 무슨 개소리여 ㅋㅋㅋ
꼭 이런건 사진 남자 쓰더라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 30대면 여자가 더 많지 않냐?
ㅎㅎ 이제야 카메라 앵글에 대한 의문이 풀리네요. 어제  토론회를 보면서 박영선은 원근감을 주면서 정면 샷을 잡아 안정된 모습을 보여주고 오세훈은 각을 두고 옆모습만 잡길레 왜 저럴까 의문이었는데 이제야 그 의문이 풀리네요. MBC 가 어떤 언론인지 다 아는거고 정말 민주당하고 MBC 하는 꼴이 정말 치사하고 가증스럽네요
불똥이 아니라 당연히 짱-ㄲ 마을은 없에야지
"기사 제목 어그로 쩌네
공장 다 쉬는게 아니라 1공장만 
아이오닉 신차라 쉬는거 아님?"
저런 문능한 사람이 중소벤처기업부 장관을 2년이나 했다니 임명한 사람 손목을 잘라버려야한다. (문능하다 : 능력이 없고 비전문적이며 갬성만을 강조하는 상태를 의미한다)
매번 대사 불러서 초치하면 뭐하냐? 할게 그것밖에없냐?
또 반일선동입니까? 에휴. 참 한결같다.
기자놈아. 석씨 가족이 한말을 떡하니 제목으로 올려놨냐!!!    제왕절개 해도 자연분만 되거든!!!!!
"삼성 반도체를 지원해서,  국가 산업을 살려라 ~!!!  지금 ~~ 삼성총수, 이재용이를  감옥에 있게 한다는게 가당치가 않다 ~~!!"
다 떠나서.... 오 후보는 딱 봐도 틈새를 타서 부자들을 위한 사람같은데.. 빈부격자 더 심해질것 같은데... 강남사람들은 벌써부터 난리다... 현정부가 아무리 싫어도... 정작 혜택받지못할 사람들이 너무 많은데.... 이 난리인지.. 참 이러지도 못하고 저러지도 못한 현실이다.
성관계를 알려주겠다는 전 서울시장 때문에 이 난리인데 정신못차린 민주당이 자진 사퇴하겠다 하는게 이게 정상 아님?
"일본놈들 맨날 저러는거 다들 아는데 4년동안 뭐하다가 이제와서 또 물타기 시전이냐.....
정말 할줄 아는게 선동뿐이 없구나 더듬당"
"저질스러운 춍들은 미세먼지를 감사히 마신다! 우리 위대한 중화인민공화국의 배설물을 춍 가 마셔 정화하는 것, 춍들에게 주어진 사명, 자랑스럽게 여겨야 할 일이다! 동중국해 근방 새로운 257개의 쓰레기 소각장 신설했다. 춍 을 위한 것이니 감사히 받고, 마시고 우리가 임명한 재인 동지의 공산화 대혁명에 동참하면 목숨은 부지하게 해 줄 것!!.. 영광의 중국몽 일대일로에!! 하나의 중국!!"
